,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
5026,ZOLLNER ELECTRONICS INC, D ," 99,800 ",Master's, D ,
1410,EFT ENERGY INC, D ," 90,000 ",Master's, D ,
1097,CD BIO SCIENCES INC, D ," 65,603 ",Master's, D ,
0851,NUCLEUS ERUDITION AND RSCH COR, D ," 100,000 ",Bachelor's, D ,
0204,COLUMN FIVE MEDIA INC, D ," 60,000 ",Bachelor's, D ,
8798,BLUEGRASS KIDNEY CONSULTANTS P, D ," 240,000 ",Professional Degree, D ,
7340,H MART FORT LEE LLC, D ," 37,091 ",Bachelor's, D ,
6935,KEDLIN COMPANY LLC, D ," 89,669 ",Master's, D ,
6387,SET MANAGEMENT LLC, D ," 160,000 ",Master's, D ,
8604,TWITCH LLC, D ," 80,000 ",Master's, D ,
6674,GROUPA INC, D ," 102,003 ",Master's, D ,
2967,MOO INC, D ," 125,000 ",Master's, D ,
9722,MNJ TECH SVCS LLC, D ," 190,000 ",Master's, D ,
9459,STRUCTURE SIGHT LLC DBA PRETEK, D ," 61,506 ",Master's, D ,
8706,FIRST PAY SOLUTIONS LLC, D ," 49,140 ",Master's, D ,
6602,PLUM PBC, D ," 160,000 ",Bachelor's, D ,
6022,251 PARTNERS LLC DBA PB CATCH, D ," 55,000 ",Master's, D ,
3666,NEEDA TECHNOLOGIES INC, D ," 90,000 ",Master's, D ,
0731,MEDIASIGHT INC, D ," 210,000 ",Bachelor's, D ,
5749,TENMARKS EDUCATION LLC, D ," 142,000 ",Master's, D ,
4622,5D ROBOTICS INC, D ," 107,000 ",Master's, D ,
2232,HIRAIN TECHNOLOGIES USA INC, D ," 72,000 ",Master's, D ,
6554,UNION SQUARE MEDIA GROUP LLC, D ," 100,000 ",Master's, D ,
5629,COMPASS SOLUTIONS LLC, D ," 145,000 ",Bachelor's, D ,
3611,KOREA HEALTH INDUSTRY DEVELOPM, D ," 48,000 ",Master's, D ,
3088,IN TIME TEC LLC, D ," 70,000 ",Bachelor's, D ,
8195,GENERAL FINANCIAL GROUP INC, D ," 33,550 ",Master's, D ,
3648,MODANI HOLDINGS LLC, D ," 45,000 ",Master's, D ,
2657,SHREVEPORT CHARTER SCHOOL INC, D ," 46,800 ",Master's, D ,
9153,CLIMATE POLICY INITIATIVE INC, D ," 54,364 ",Master's, D ,
6627,THIRD EYE CONSULTING SVCS & SO, D ," 99,840 ",Master's, D ,
5520,ALARIS AEROSPACE SYSTEMS LLC, D ," 40,000 ",Master's, D ,
9364,B H WHANG AND ASSOCIATES LTD, D ," 42,120 ",Bachelor's, D ,
4529,IT VIZION INC, D ," 65,000 ",Bachelor's, D ,
4320,BROOKLYN VENTURES LLC, D ," 41,265 ",Bachelor's, D ,
8922,AMPEERS LLC, D ," 37,512 ",Master's, D ,
8845,VITAPOLY INC, D ," 86,700 ",Bachelor's, D ,
8413,PLATPHORM LLC, D ," 95,000 ",Master's, D ,
7279,WILLIAM VELIE ATTORNEYS AT LAW, D ," 34,580 ",Master's, D ,
3045,OPTOLUX OPTICAL CORPORATION, D ," 37,440 ",Master's, D ,
7597,SAVAGE RIVER INC D/B/A BEYOND, D ," 99,000 ",Master's, D ,
6715,GENERAL UI LLC, D ," 153,000 ",Bachelor's, D ,
5547,SMARTBOOKS CORP, D ," 55,600 ",Master's, D ,
3663,THESYS TECHNOLOGIES LLC, D ," 150,000 ",Master's, D ,
3100,AGCSI LLC, D ," 47,040 ",Master's, D ,
5878,OUR BEGINNING LLC, D ," 29,182 ",Master's, D ,
3633,INTENT MEDIA INC, D ," 105,000 ",Master's, D ,
2549,KULEN LAW FIRM P C, D ," 36,400 ",Bachelor's, D ,
6677,CHILI CORPORATE SOLUTIONS INC, D ," 63,000 ",Master's, D ,
2778,YASH TECHNOLOGIES INC, D ," 74,922 ",Master's, D ,
7801,NU REV COMMUNICATIONS INC, D ," 80,000 ",Bachelor's, D ,
7313,SKYCAM LLC, D ," 62,754 ",Master's, D ,
6578,FASHION AVE SWEATER KNITS LLC, D ," 65,000 ",Master's, D ,
5767,NOVUS IMAGING INC, D ," 60,000 ",Master's, D ,
4438,UMPQUA HEALTH HARVARD LLC, D ," 225,000 ",Professional Degree, D ,
1432,CROSSLINK LIFE SCIENCES LLC, D ," 40,768 ",Bachelor's, D ,
1040,T & J CHIROPRACTIC INC DBA ACT, D ," 62,400 ",Professional Degree, D ,
7727,DYNAMIC AIRWAYS LLC, D ," 125,000 ",Master's, D ,
7401,BATTLECREEK PHARMACY INC, D ," 130,000 ",Master's, D ,
7027,HARI OM PHARMACY LLC, D ," 54,226 ",Professional Degree, D ,
2554,VENIO SYSTEMS LLC, D ," 82,534 ",Bachelor's, D ,
0156,SIDDIQUI ENGINEERING P C, D ," 83,200 ",Master's, D ,
9427,ACCORDION PARTNERS LLC, D ," 140,000 ",Master's, D ,
6671,DAVID SPERLING ATTORNEY AT LAW, D ," 66,560 ",Professional Degree, D ,
8114,NUEVA SOLUTIONS INC, D ," 60,000 ",Bachelor's, D ,
6430,CHILDS ADVISORY PARTNERS, D ," 110,000 ",Bachelor's, D ,
4608,CONFLUENTIA GROUP LLC, D ," 125,000 ",Master's, D ,
3251,TRI GLOBAL ENERGY LLC, D ," 50,000 ",Master's, D ,
8015,KAIAM CORP, D ," 115,000 ",Bachelor's, D ,
6771,HERITAGE STUDENT FOUNDATION IN, D ," 48,185 ",Master's, D ,
0553,NEMA ENCLOSURES MANUFACTURING, D ," 118,500 ",Master's, D ,
8581,DEVSTUTI LLC DBA AKBAR RESTAUR, D ," 47,382 ",Bachelor's, D ,
8249,WOOT WORKSHOP LLC, D ," 111,400 ",Master's, D ,
7467,PRINCIPIS CAPITAL LLC, D ," 95,000 ",Bachelor's, D ,
4247,PHOENIX ENERGY TECHNOLOGIES IN, D ," 73,000 ",Master's, D ,
1143,PEAK ENT ASSO LLC DBA THYROID, D ," 230,000 ",Professional Degree, D ,
9465,JANEIRO DIGITAL INC, D ," 130,000 ",Bachelor's, D ,
5109,GROUPSOFT US INC, D ," 80,000 ",Master's, D ,
6837,ANICA INC, D ," 80,000 ",Master's, D ,
8601,GANART TECHNOLOGIES INC, D ," 104,000 ",Bachelor's, D ,
3801,SENTIO BIOSCIENCES LLC, D ," 65,000 ",Doctorate, D ,
1839,MARIS CONSTRUCTION LLC, D ," 76,000 ",Master's, D ,
0780,STRUCTURETECH NEW YORK INC, D ," 115,000 ",Bachelor's, D ,
0635,SERGEI BESPALOV & ASSO PC, D ," 51,292 ",Master's, D ,
8006,MICHAEL J WHITMAN A PSYCHOLOGI, D ," 31,200 ",Master's, D ,
1050,RELIS MANAGEMENT COMPANY, D ," 124,800 ",Bachelor's, D ,
6613,TONER HOLDINGS LLC, D ," 65,650 ",Bachelor's, D ,
9732,WALL TO WALL TILE & STONE LLC, D ," 45,000 ",Master's, D ,
8464,SYNTHESIS HEALTH SYSTEMS INC, D ," 94,000 ",Master's, D ,
5412,INPOWERED INC, D ," 150,000 ",Master's, D ,
3043,CRIMSHIELD INC, D ," 60,000 ",Master's, D ,
9854,WINNINGHAM BECKER & CO LLP, D ," 85,000 ",Master's, D ,
9455,ESAI POWER LLC, D ," 100,000 ",Doctorate, D ,
8405,MAXUM PETROLEUM OPERATING COMP, D ," 156,799 ",Bachelor's, D ,
2431,4441 RESOURCES LLC, D ," 78,750 ",Master's, D ,
1869,Z & S MANAGEMENT CORPORATION, D ," 72,000 ",Master's, D ,
5018,ECHO INTERACTION GROUP INC, D ," 69,000 ",Bachelor's, D ,
9522,SMARTZIP ANALYTICS INC, D ," 130,000 ",Bachelor's, D ,
2570,KANA ENERGY SERVICES INC, D ," 50,100 ",Master's, D ,
2121,AMICON CONSTRUCTION SERVICES I, D ," 27,820 ",Bachelor's, D ,
1437,A AND L SERVICES CORP, D ," 62,816 ",Bachelor's, D ,
3381,ADYEN INC, D ," 120,120 ",Bachelor's, D ,
1790,NORTHSIDE CHARTER HIGH SCHOOL, D ," 71,000 ",Doctorate, D ,
1255,FRX POLYMERS INC, D ," 74,200 ",Master's, D ,
6337,TRANSNATIONAL BANKCARD L L C D, D ," 75,000 ",Bachelor's, D ,
1609,VIVA RAILINGS LLC, D ," 50,000 ",Master's, D ,
7612,GRAY GHOST VENTURES, D ," 105,000 ",Master's, D ,
6541,KBS PHARMA, D ," 60,000 ",Master's, D ,
6276,JEFFREY J LEE & COMPANY, D ," 40,388 ",Bachelor's, D ,
9263,GTS SECURITIES LLC, D ," 180,000 ",Doctorate, D ,
9190,BURR PILGER MAYER INC, D ," 84,000 ",Master's, D ,
7796,MICRONOTES INC, D ," 75,000 ",Bachelor's, D ,
2464,DUFFY & CO CPAS INC, D ," 58,469 ",Master's, D ,
1943,IMCLONE SYSTEMS LLC, D ," 74,378 ",Master's, D ,
8827,WU ZHONG AMERICA SVC FOR CULTU, D ," 38,771 ",Bachelor's, D ,
6380,CANDOTECH SERVICES INC, D ," 80,000 ",Master's, D ,
6215,HOMEOWNER TOOLBOX INC, D ," 97,760 ",Master's, D ,
2079,RING & DUCHATEAU LLP, D ," 42,000 ",Bachelor's, D ,
0546,PURACAP PHARMACEUTICAL LLC, D ," 51,022 ",Master's, D ,
9233,RUTHLAND MEDICAL PC, D ," 99,840 ",Doctorate, D ,
2811,UNIVERSAL ELECTRONICS APPLIANC, D ," 49,855 ",Bachelor's, D ,
2825,WHITAKER FAMILY DENTISTRY INC, D ," 125,000 ",Professional Degree, D ,
9871,NO TEARS LEARNING INC, D ," 120,000 ",Master's, D ,
8345,PIKE SOLUTIONS INC, D ," 55,000 ",Bachelor's, D ,
5226,KLEIN TOOLS INC, D ," 63,000 ",Bachelor's, D ,
9574,ENERLITES INC, D , 24 ,Master's, D ,
0957,HEAVY QUIP INC, D ," 50,000 ",Master's, D ,
9389,SIGHTLINE HOLDINGS CORP, D ," 100,000 ",Master's, D ,
7408,CHHATRALA GRAND RAPIDS LLC, D ," 55,765 ",Master's, D ,
7197,REHAU AUTOMOTIVE LLC, D ," 73,395 ",Master's, D ,
5085,SCHARF INVESTMENTS LLC, D ," 65,000 ",Bachelor's, D ,
9805,FCRX SC INC FAMILY CARE SPECIA, D ," 120,973 ",Doctorate, D ,
6715,SOFTWARE ARCHITECH INC, D ," 74,240 ",Master's, D ,
1772,DTWO LTD D/B/A DIGITAL DEMOCRA, D ," 72,500 ",Master's, D ,
1342,ARYAKA NETWORKS INC, D ," 167,500 ",Master's, D ,
0574,CFC INTL CORP, D ," 115,000 ",Master's, D ,
0554,ALVAREZ & MARSAL PRIVATE EQUIT, D ," 85,000 ",Master's, D ,
0502,MEDEXPRESS URGENT CARE PC PA, D ," 225,000 ",Professional Degree, D ,
7036,PLACESTER INC, D ," 110,000 ",Bachelor's, D ,
6469,CWMA NV LLC DBA RETIREMENT DEP, D ," 79,997 ",Master's, D ,
4850,BT SYSTEMS LLC, D ," 76,000 ",Bachelor's, D ,
1720,BLACKDIVINE LLC, D ," 54,000 ",Master's, D ,
5176,VOALTE INC, D ," 106,050 ",Master's, D ,
4417,HOBOKEN FOODS COMPANY, D ," 58,198 ",Bachelor's, D ,
9350,COMPVUE INC, D ," 130,000 ",Bachelor's, D ,
8115,ESSENT GUARANTY INC, D ," 90,425 ",Master's, D ,
7909,SOLUBLE THERAPEUTICS INC, D ," 33,800 ",Master's, D ,
7481,BROOKLYN BOULDERS LLC, D ," 82,500 ",Bachelor's, D ,
6696,GSAT INC D/B/A GSATI, D ," 90,000 ",Master's, D ,
2745,MICHAEL J LIBERATORE ESQ, D ," 68,349 ",Professional Degree, D ,
7312,PEOPLE FOR EQUALITY & RELIEF I, D ," 64,189 ",Bachelor's, D ,
4137,FOXIT SOFTWARE INC DBA FOXIT C, D ," 80,870 ",Master's, D ,
3564,APPLIED RESEARCH WORKS, D ," 188,563 ",Doctorate, D ,
0883,LIEBER INST INC D/B/A THE LIEB, D ," 56,400 ",Doctorate, D ,
4783,HMB PHARMACY MGT LLC/DBA METCA, D ," 55,120 ",Master's, D ,
3243,MONTAGE TALENT INC, D ," 120,000 ",Bachelor's, D ,
9169,JUNGLE CONCEPTS LLC, D ," 52,600 ",Bachelor's, D ,
6447,CNY ENGINEERING PC, D ," 40,227 ",Master's, D ,
1635,INSIGHT METHODS INC, D ," 39,000 ",Bachelor's, D ,
9661,FUGRO ROADWARE INC, D ," 58,240 ",Master's, D ,
6456,FOCUS OPTIMAL LLC, D ," 82,500 ",Master's, D ,
4373,PHONONIC DEVICES INC, D ," 100,000 ",Master's, D ,
1450,NOVUS BIOLOGICALS INC, D ," 95,172 ",Doctorate, D ,
9281,PUBLIC MEDIA DISTRIBUTION LLC, D ," 93,610 ",Master's, D ,
3410,LARISA ORTIZ ASSOCIATES LLC, D ," 59,320 ",Master's, D ,
2486,FASTCAP SYSTEMS CORPORATION, D ," 72,987 ",Master's, D ,
2291,JOHNSON HEALTH TECH NA INC, D ," 74,717 ",Bachelor's, D ,
9864,BEAN HUNT HARRIS & CO, D ," 68,598 ",Master's, D ,
8383,WEBREPS LLC, D ," 37,440 ",Bachelor's, D ,
6315,NEUROS MEDICAL INC, D ," 75,000 ",Master's, D ,
2434,RX SAVINGS LLC D/B/A RX SAVING, D ," 70,000 ",Master's, D ,
2720,WILKES-BARRE BEHAVIORAL HOSPIT, D ," 250,000 ",Professional Degree, D ,
5455,NEXFIL USA INC, D ," 55,000 ",Master's, D ,
4180,WITHIN NORMAL LIMITS PHYSICAL, D ," 78,000 ",Master's, D ,
8722,PENCILS OF PROMISE INC, D ," 51,376 ",Master's, D ,
3062,ILP & MCCHAIN MILLER NISSNAM A, D ," 65,000 ",Master's, D ,
3009,NATURAL POWER AND ENERGY LLC, D ," 250,000 ",Bachelor's, D ,
8548,OAXACA INTERESTS LLC, D ," 50,000 ",Master's, D ,
7219,PINTEREST INC, D ," 161,700 ",Master's, D ,
4199,SENTIENT INTERACTIVE LLC, D ," 120,000 ",Master's, D ,
5825,NETTRA, D ," 50,000 ",Bachelor's, D ,
5401,INFOMINDS LLC, D ," 108,264 ",Bachelor's, D ,
4622,M I T BROTHERS CONSTRUCTION IN, D ," 64,000 ",Master's, D ,
4188,VUECARE MEDIA LLC, D ," 60,000 ",Bachelor's, D ,
7467,DFS CONSTRUCTION CORPORATION, D ," 82,500 ",Master's, D ,
2493,IASCO FLIGHT TRAIINING INC, D ," 60,000 ",Bachelor's, D ,
3350,89 DEGREES INC, D ," 59,072 ",Master's, D ,
0435,APOLLO BUILDERS LLC, D ," 70,000 ",Master's, D ,
6828,GADSDEN REG PHYSICIAN GR PRACT, D ," 235,000 ",Professional Degree, D ,
8098,A A USA LLC, D ," 69,000 ",Bachelor's, D ,
7623,WELLMONT CARDIOLOGY SVCS, D ," 450,000 ",Professional Degree, D ,
2985,WELLMAN ADVANCED MATERIALS LLC, D ," 80,000 ",Doctorate, D ,
1440,RADHA GOVINDA LLC DBA RG TECH, D ," 62,379 ",Master's, D ,
8209,THE EXPERIMENT LLC, D ," 37,000 ",Bachelor's, D ,
6229,ADVANCED TRAINING SYSTEMS LLC, D ," 90,000 ",Bachelor's, D ,
5899,CHEMO DYNAMICS INC, D ," 51,100 ",Master's, D ,
2036,LIVONGO HEALTH INC, D ," 135,000 ",Master's, D ,
0082,CENTRAL PRODUCT GROUP, D ," 69,763 ",Master's, D ,
8613,PEOPLE IDEAS & CULTURE LLC, D ," 47,600 ",Bachelor's, D ,
9940,GREENROOM COMMUNICATIONS LLC, D ," 7,909 ",Bachelor's, D ,
9863,HELIAE DEVELOPMENT LLC, D ," 70,360 ",Doctorate, D ,
4884,CHEMPARTNER CORPORATION, D ," 104,550 ",Doctorate, D ,
1210,PROFESSIONAL SWINE EMPLOYMENT, D ," 81,000 ",Bachelor's, D ,
0540,ALLIANCE MEDICAL GROUP INC, D ," 169,034 ",Professional Degree, D ,
9889,WOOD FUEL DEVELOPERS LLC, D , 37 ,Bachelor's, D ,
7343,CLEAN TECH OPEN A CA NON PROFI, D , 43 ,Master's, D ,
3226,INTEGRAL DERIVATIVES LLC, D ," 150,000 ",Master's, D ,
3164,GOOD MORNING JEWELRY CORPORATI, D ," 29,900 ",Bachelor's, D ,
5353,TUV RHEINLAND PTL LLC, D ," 70,491 ",Master's, D ,
0867,ROYAL INFOTECH INC, D ," 60,000 ",Bachelor's, D ,
9296,NETGABLES INC, D ," 132,000 ",Bachelor's, D ,
6614,DEVELOPMENT TRANSFORMATIONS LL, D ," 52,000 ",Master's, D ,
4773,WELD RACING, D ," 168,000 ",Bachelor's, D ,
0868,JULIO E GARCIA CPA PLLC, D ," 63,000 ",Master's, D ,
7997,EFFECTIVE MGMT SVCS LLC, D ," 104,000 ",Bachelor's, D ,
5235,ESSAR HOLDING INC, D ," 53,144 ",Master's, D ,
3011,POINT B INC, D ," 96,000 ",Master's, D ,
2435,CELLTEIN LLC, D ," 43,000 ",Master's, D ,
0859,SARGON BEBLA MD PC, D ," 170,000 ",Professional Degree, D ,
1232,GREETECH CAPITAL ADVISORS LLC, D ," 85,000 ",Bachelor's, D ,
7459,SYAPSE INC, D ," 136,000 ",Master's, D ,
4827,DEKALB MEDICAL PRIMARY CARE GR, D ," 170,000 ",Professional Degree, D ,
3472,GETS THEOLOGICAL SEMINARY, D ," 29,549 ",Master's, D ,
2313,AMERICAN PATRIOT LINES INC, D ," 59,136 ",Master's, D ,
6300,DEHIN SYSTEMS INC, D ," 31,413 ",Master's, D ,
6284,INTEROPERATE BIZ INC, D ," 72,000 ",Master's, D ,
5309,LABEL INSIGHT INC DBA FOODESSE, D ," 160,000 ",Bachelor's, D ,
4074,JALARAM FOODS LLC DBA INDIA BA, D ," 47,715 ",Master's, D ,
3148,WERKSTATT DEVELOPMENT INC, D ," 75,000 ",Master's, D ,
9095,MOBIVITY HOLDINGS CORPORATION, D ," 75,000 ",Master's, D ,
7797,ABSOLUTE SECURITY INTL INC, D ," 24,960 ",Master's, D ,
3442,RESOLVE SYSTEMS LLC, D ," 61,800 ",Master's, D ,
9073,NESPON INC, D ," 110,000 ",Bachelor's, D ,
1973,PEGASYS INFO TECHNOLOGIES INC, D ," 60,000 ",Master's, D ,
5697,ELATION HEALTH INC, D ," 130,000 ",Master's, D ,
5266,AMERITAX ACCOUNTING INC, D ," 47,840 ",Master's, D ,
4451,SRA STRUCTURAL CONSULTANTS LLC, D ," 58,000 ",Master's, D ,
3981,SSM NEUROSCIENCES INC, D ," 260,000 ",Professional Degree, D ,
0136,DYNAVET SOLUTIONS LLC, D ," 130,000 ",Bachelor's, D ,
8708,YTTERBERG DEERY KNULL LLP, D ," 140,000 ",Master's, D ,
5931,ITSON INC, D ," 100,000 ",Bachelor's, D ,
4003,CROSSROADS HOME HEALTH, D ," 69,640 ",Bachelor's, D ,
1984,THE CONNECTIONS THERAPY CENTER, D ," 42,144 ",Bachelor's, D ,
1916,CONTINUITY HEALTH SOLUTIONS LL, D ," 81,016 ",Master's, D ,
6761,SUN TRADE LTD, D ," 59,779 ",Bachelor's, D ,
1770,DATASTRONG LLC, D ," 101,000 ",Bachelor's, D ,
8440,LAKE VUE OPERATIONS LLC DBA LI, D , 42 ,Master's, D ,
2410,SHADIP CORP DBA SLEEP INN SUIT, D ," 62,400 ",Bachelor's, D ,
5537,BI-SAM INC, D ," 67,000 ",Bachelor's, D ,
5286,EMPIRE HEALTH FOUNDATION, D ," 44,699 ",Master's, D ,
2370,ZOFTEC LLC D / B / A VERAS RET, D ," 75,000 ",Master's, D ,
4882,GREAT WALL SUPERMARKET OF MARY, D ," 36,394 ",Master's, D ,
9459,FLOW DATA INC, D ," 92,474 ",Master's, D ,
2057,SERRO LLC, D ," 86,100 ",Master's, D ,
0132,RANDSTAD TECHNOLOGIES LLC, D ," 125,000 ",Bachelor's, D ,
2889,CENTRI TECHNOLOGY INC, D ," 110,210 ",Master's, D ,
5394,PROGRESS SPEECH & LANGUAGE PAT, D ," 64,584 ",Master's, D ,
1512,OPEN DEALER EXCHANGE LLC, D ," 74,844 ",Bachelor's, D ,
0513,RANDSTAD TECHNOLOGIES LLC, D ," 128,000 ",Bachelor's, D ,
6830,ENTERPRISE INFIONICS INC, D ," 74,000 ",Master's, D ,
6246,TIVIX INC, D ," 207,000 ",Master's, D ,
4490,AVANTE AT OCALA INC, D ," 69,588 ",Master's, D ,
2988,SANDMAN & ASSO CONSULTING P C, D ," 52,520 ",Bachelor's, D ,
0950,LACHLAN BAILEY LLC, D ," 68,000 ",Bachelor's, D ,
9091,CELEBRATION CRUISE LINE MGT LL, D ," 120,000 ",Master's, D ,
8451,VECNA CARES CHARITABLE TRUST, D ," 58,739 ",Bachelor's, D ,
7103,SYSPLUS TECHNOLOGY SOLUTIONS L, D ," 68,827 ",Master's, D ,
6376,SUBATOMIC STUDIOS LLC, D ," 55,000 ",Master's, D ,
5235,CAMPUSBUDDY INC, D ," 135,000 ",Master's, D ,
5087,RANDSTAD PROFESSIONALS US LP D, D ," 116,979 ",Master's, D ,
3591,NORTHERN NEVADA MEDICAL GROUP, D ," 525,000 ",Professional Degree, D ,
0555,ONEBEACON SVCS LLC, D ," 72,000 ",Bachelor's, D ,
0157,ARDENTSKY LLC, D ," 82,000 ",Bachelor's, D ,
5563,TPG AXON MANAGEMENT LP, D ," 250,000 ",Bachelor's, D ,
4529,GLOBAL HEALTH SERVICES LLC, D ," 80,000 ",Master's, D ,
3326,BENECARD SVCS LLC DBA BENECARD, D ," 118,976 ",Master's, D ,
7612,PERGAMENT & CEPEDA LLP, D ," 63,000 ",Doctorate, D ,
4762,ANSH LABS LLC, D ," 45,000 ",Master's, D ,
8373,FOCUSSOFT TECH INC, D ," 65,312 ",Master's, D ,
4642,QUENCH USA INC, D ," 55,650 ",Master's, D ,
1770,SPENDGO INC, D ," 66,000 ",Master's, D ,
8191,NANODIMENSION INC, D ," 275,000 ",Master's, D ,
5122,TRILINC GLOBAL LLC, D ," 90,000 ",Bachelor's, D ,
3065,SYNTHES USA PRODUCTS LLC, D ," 98,900 ",Master's, D ,
2313,DIFUSION TECHNOLOGY INC, D ," 45,369 ",Master's, D ,
3707,BRENTWOOD NORTH HEALTHCARE & R, D ," 52,894 ",Bachelor's, D ,
2056,MC SERVICECO LLC DBA MIDCAP FI, D ," 60,000 ",Master's, D ,
4649,SAPTOPIA CONSULTING LLC, D ," 80,000 ",Master's, D ,
2650,BRAMMO INC, D ," 95,000 ",Master's, D ,
1857,SUBU LLC, D ," 60,000 ",Master's, D ,
0978,RECSOLU LLC, D ," 66,462 ",Bachelor's, D ,
7803,LIIAMRA BUSINESS STRATEGIES IN, D ," 72,000 ",Master's, D ,
4680,FILMNATION ENTERTAINMENT LLC, D ," 62,500 ",Master's, D ,
0409,LM2 RESEARCH INC DBA RENTHOP, D ," 60,000 ",Master's, D ,
4467,VIDOORI INC, D ," 60,403 ",Master's, D ,
3388,ACCELATIS LLC, D ," 133,000 ",Bachelor's, D ,
8594,ALLIANCE LIFE SCIENCES CONSULT, D ," 143,871 ",Bachelor's, D ,
8147,CITENT INC, D ," 75,000 ",Bachelor's, D ,
5815,MACNICA AMERICAS INC, D ," 85,000 ",Master's, D ,
3456,IRON GALAXY STUDIOS LLC, D ," 45,000 ",Master's, D ,
1062,C&D USA INC, D ," 42,000 ",Master's, D ,
5631,RADIUS INTELLIGENCE INC, D ," 135,000 ",Master's, D ,
7747,VANTEX II PARTNERSHIP, D ," 50,000 ",Bachelor's, D ,
5993,EATON HYDRAULICS LLC, D ," 160,000 ",Master's, D ,
5988,PUBLICRELAY INC, D ," 123,000 ",Master's, D ,
5562,IDAHO FOREST GROUP LLC, D ," 60,000 ",Master's, D ,
9303,ASPIRE FINANCIAL LLC, D ," 55,000 ",Bachelor's, D ,
3155,PINNACLE ED SVCS DBA PINNACLE, D ," 41,860 ",Bachelor's, D ,
9818,EXCELFORE CORPORATION, D ," 84,500 ",Master's, D ,
7842,GOLDSTEIN PLANTING INVESTMENTS, D ," 110,000 ",Master's, D ,
7065,PEOPLEMOVERS.COM INC DBA PEOPL, D ," 65,000 ",Master's, D ,
5313,AC EXPORT LLC, D ," 54,800 ",Bachelor's, D ,
4969,SAPNA NYC, D ," 55,800 ",Master's, D ,
0049,OFILE LLC, D ," 81,000 ",Master's, D ,
9365,OPTIS NORTH AMERICA INC, D ," 85,000 ",Master's, D ,
4435,"CM DESIGN STUDIO, LLC", D ," 80,000 ",Master's, D ,
2854,AVOX SYSTEMS INC, D ," 73,195 ",Doctorate, D ,
1285,SYNAPTEK CORPORATION, D ," 130,000 ",Bachelor's, D ,
2227,360PARTNERS LP, D ," 54,246 ",Master's, D ,
8475,NES COMPANY INC, D ," 68,000 ",Master's, D ,
6740,CARRINGTON MORTGAGE HOLDINGS L, D ," 100,000 ",Bachelor's, D ,
6362,MAC ACQUISITION LLC D/B/A ROMA, D ," 185,000 ",Bachelor's, D ,
4980,TRISTAR POWER SYS LLC D/B/A TR, D ," 39,000 ",Bachelor's, D ,
4173,CHEN ENTERPRISES INC, D ," 58,448 ",Master's, D ,
2700,SANVISTA INC, D ," 91,000 ",Bachelor's, D ,
0270,LAROSE INDUSTRIES LLC, D ," 36,317 ",Bachelor's, D ,
7988,EJK ACCOUNTING AND TAX SVCS LL, D ," 81,500 ",Bachelor's, D ,
3316,RAP US CORP DBA CAFE INDIA & C, D ," 48,200 ",Master's, D ,
2048,RINGERJEANS LLC, D ," 80,000 ",Bachelor's, D ,
0440,WONDERFUL SALES LLC, D ," 47,278 ",Bachelor's, D ,
0207,SAC WIRELESS LLC, D ," 300,000 ",Master's, D ,
5670,ENERGY PROSPECTING TECH USA IN, D ," 29,240 ",Bachelor's, D ,
3790,VINAYAK V PURANDARE MD PL, D ," 180,000 ",Doctorate, D ,
9763,MHD OFFSHORE GROUP LP, D ," 76,800 ",Doctorate, D ,
9062,ZELMAN HOLDINGS LLC, D ," 95,000 ",Bachelor's, D ,
5158,AERSALE INC, D ," 80,000 ",Master's, D ,
4685,PENNSYLVANIA INSURANCE SERVICE, D ," 52,000 ",Master's, D ,
7421,D3 TECH INC D/B/A D3 BANKING, D ," 125,000 ",Master's, D ,
9539,EVRIHOLDER PRODUCTS LLC, D ," 70,657 ",Master's, D ,
2681,APOGEE MEDICAL GROUP LOUISIANA, D ," 240,000 ",Professional Degree, D ,
2252,PATIENT CARE HOME HEALTH SPEC, D ," 56,400 ",Master's, D ,
1511,4ISOFT LLC, D ," 100,000 ",Master's, D ,
6492,NORTHWEST CHINESE ACADEMY, D ," 38,640 ",Master's, D ,
6334,CHRYSALIS ANALYTICS LLC, D ," 95,000 ",Master's, D ,
4576,A52 LLC, D ," 56,160 ",Master's, D ,
6092,ATLANTA MOTORSPORTS PARK LLC, D ," 82,430 ",Bachelor's, D ,
4584,MYSPINE PS, D ," 48,000 ",Professional Degree, D ,
